#{"t_start": 1616435654.7412186, "env_id": null}
r,l,t
-0.761905,11,5.969032
-0.857143,7,6.024262
-0.785714,10,6.098679
-0.785714,10,6.17692
-0.833333,8,6.246547
-0.761905,11,6.343108
1.190476,9,6.415355
-0.761905,11,6.507305
-0.809524,9,6.584779
-0.880952,6,6.637769
-0.904762,5,6.681205
-0.666667,15,6.802388
-0.833333,8,6.869415
-0.809524,9,6.943714
-0.833333,8,7.010098
-0.761905,11,7.097941
-0.785714,10,7.177622
-0.785714,10,7.267171
-0.904762,5,7.312381
-0.809524,9,7.386597
-0.833333,8,7.452949
-0.857143,7,7.507533
-0.738095,12,7.598938
-0.761905,11,7.681283
-0.809524,9,7.745237
1.238095,11,7.823106
-0.857143,7,7.876915
-0.761905,11,8.202837
-0.833333,8,8.263832
-0.809524,9,8.335228
-9.642857,16,8.443744
-0.904762,5,8.482929
-0.809524,9,8.550483
-0.880952,6,8.594847
-9.738095,12,8.679555
-0.857143,7,8.729803
-0.785714,10,8.803817
-0.857143,7,8.85523
-0.833333,8,8.91573
-0.761905,11,8.997361
-0.833333,8,9.058376
-9.761905,11,9.13686
-9.690476,14,9.23457
-0.857143,7,9.289647
-0.904762,5,9.326771
-9.714286,13,9.419395
-0.809524,9,9.484055
-9.642857,16,9.598568
-0.785714,10,9.673815
-0.809524,9,9.741086
-0.833333,8,9.800933
-0.904762,5,9.836665
-0.666667,15,9.946095
-0.904762,5,9.98311
-0.761905,11,10.067161
-9.857143,7,10.236191
-0.857143,7,10.29226
-0.738095,12,10.382934
-9.666667,15,10.48716
-0.785714,10,10.559369
-0.785714,10,10.634674
-0.785714,10,10.707661
-0.857143,7,10.760128
-0.928571,4,10.789108
-0.785714,10,10.863644
-0.928571,4,10.893125
-9.714286,13,10.986501
-0.809524,9,11.052086
-9.666667,15,11.157866
-9.785714,10,11.228764
-9.738095,12,11.313004
-0.880952,6,11.356019
-0.690476,14,11.456429
-9.738095,12,11.540601
-9.714286,13,11.6329
-9.738095,12,11.719112
-0.904762,5,11.757406
-0.857143,7,11.80906
-0.738095,12,11.895565
-0.690476,14,12.002473
-0.761905,11,12.206183
-9.833333,8,12.261854
-9.714286,13,12.349883
-0.809524,9,12.417487
-0.785714,10,12.490289
-0.761905,11,12.573885
-0.833333,8,12.631838
-0.857143,7,12.687155
-0.714286,13,12.787223
-9.833333,8,12.844147
-0.857143,7,12.899108
-0.785714,10,12.974598
-0.809524,9,13.043536
-0.857143,7,13.098052
-0.857143,7,13.151662
-0.928571,4,13.1849
-0.809524,9,13.252485
-0.785714,10,13.329863
-0.833333,8,13.390363
-0.857143,7,13.442287
-0.857143,7,13.494991
-0.857143,7,13.547889
-0.809524,9,13.614585
-0.738095,12,13.702105
-0.738095,12,13.792991
-0.714286,13,13.891523
-0.714286,13,13.990629
-9.761905,11,14.068949
-0.833333,8,14.25085
-0.928571,4,14.280123
-0.857143,7,14.334115
-0.809524,9,14.399951
-0.785714,10,14.545185
-0.761905,11,14.627894
-0.833333,8,14.688407
-0.714286,13,14.787064
-0.809524,9,14.852129
-0.785714,10,14.926556
-0.642857,16,15.037641
-0.857143,7,15.093929
-0.761905,11,15.175733
-0.666667,15,15.287645
-0.880952,6,15.333246
-0.666667,15,15.447011
-0.785714,10,15.522337
-9.809524,9,15.584988
-0.904762,5,15.622914
-0.928571,4,15.6532
-0.642857,16,15.774482
-0.785714,10,15.849066
-0.857143,7,15.903796
-9.761905,11,15.982066
-0.785714,10,16.057164
-0.833333,8,16.116263
-0.738095,12,16.328072
-9.761905,11,16.40365
-0.904762,5,16.440518
-0.761905,11,16.52255
-0.761905,11,16.605861
-0.785714,10,16.681132
-0.857143,7,16.732427
-0.904762,5,16.769916
-0.714286,13,16.868394
-0.833333,8,16.93074
-0.833333,8,16.98925
-0.928571,4,17.018988
-0.857143,7,17.069985
-9.761905,11,17.147768
-0.857143,7,17.200434
-0.928571,4,17.231225
-0.690476,14,17.340657
-0.738095,12,17.429943
-0.833333,8,17.489691
-0.880952,6,17.532359
-0.714286,13,17.629336
-0.785714,10,17.705584
-0.857143,7,17.758258
-9.761905,11,17.836705
-0.809524,9,17.905377
-0.857143,7,17.95974
1.261905,12,18.046242
-0.833333,8,18.106713
-0.904762,5,18.1441
-0.833333,8,18.207614
-9.738095,12,18.415982
-0.833333,8,18.474981
-0.809524,9,18.54486
-9.714286,13,18.637236
-0.928571,4,18.6656
-0.833333,8,18.726279
-0.928571,4,18.754886
-0.761905,11,18.838623
-0.809524,9,18.907478
-9.714286,13,19.001932
-0.833333,8,19.061563
-9.761905,11,19.140352
-9.642857,16,19.251525
1.333333,15,19.362063
-9.880952,6,19.403942
-0.809524,9,19.470888
-0.880952,6,19.518077
-0.928571,4,19.545714
-0.738095,12,19.636975
-0.904762,5,19.67582
-0.761905,11,19.757992
-0.785714,10,19.835301
-0.857143,7,19.88825
-0.785714,10,19.962667
-9.761905,11,20.041688
-0.714286,13,20.138164
-9.738095,12,20.224287
-0.857143,7,20.394663
-9.714286,13,20.488135
-0.761905,11,20.570546
-0.809524,9,20.638266
-0.928571,4,20.669643
-0.880952,6,20.714802
-0.738095,12,20.805289
-0.833333,8,20.866694
-0.785714,10,20.944871
-0.809524,9,21.011974
1.238095,11,21.092563
-0.809524,9,21.161397
-0.857143,7,21.21538
-9.690476,14,21.315848
1.214286,10,21.388283
-0.690476,14,21.491673
-0.928571,4,21.519836
-0.833333,8,21.578855
-9.833333,8,21.632361
1.238095,11,21.710871
-0.761905,11,21.792342
-0.880952,6,21.839073
-0.690476,14,21.939192
-9.642857,16,22.047745
-9.785714,10,22.11816
-0.928571,4,22.146615
-0.809524,9,22.213868
-0.880952,6,22.378639
-0.785714,10,22.455334
-0.761905,11,22.537632
-0.833333,8,22.597461
-0.761905,11,22.679189
-0.928571,4,22.706901
-9.738095,12,22.790277
-0.809524,9,22.859626
-0.880952,6,22.903417
-0.785714,10,22.978905
-0.714286,13,23.07521
-0.785714,10,23.148581
-0.738095,12,23.239634
-0.809524,9,23.312832
-9.714286,13,23.406477
-9.690476,14,23.503345
-0.809524,9,23.571544
-0.928571,4,23.599937
-0.785714,10,23.674959
-0.857143,7,23.725092
-0.690476,14,23.828029
-0.809524,9,23.893661
-0.761905,11,23.974007
-0.880952,6,24.020293
-0.833333,8,24.078169
-0.761905,11,24.16043
-9.738095,12,24.364617
-9.761905,11,24.442994
-9.785714,10,24.513585
-0.809524,9,24.578811
-0.857143,7,24.633194
-0.809524,9,24.702994
-0.809524,9,24.770956
-9.714286,13,24.863138
-9.666667,15,24.968012
-0.880952,6,25.013647
-0.904762,5,25.053854
-0.880952,6,25.09911
-9.690476,14,25.200056
-0.714286,13,25.29659
-0.714286,13,25.394968
-0.857143,7,25.446466
-9.690476,14,25.546236
-9.738095,12,25.632531
-0.690476,14,25.733777
1.261905,12,25.821263
-0.904762,5,25.860154
-9.833333,8,25.914216
-9.690476,14,26.013785
-9.761905,11,26.093314
-0.785714,10,26.167938
-9.761905,11,26.367731
-9.738095,12,26.452529
-9.857143,7,26.50009
-0.761905,11,26.580591
-0.880952,6,26.625405
-0.738095,12,26.713588
-0.857143,7,26.76811
-0.761905,11,26.854094
-0.857143,7,26.904398
-0.690476,14,27.008592
-0.690476,14,27.113847
-0.809524,9,27.18169
-0.857143,7,27.236766
-9.666667,15,27.340713
-0.761905,11,27.423349
-0.809524,9,27.490303
-9.809524,9,27.553545
-0.857143,7,27.606715
-9.785714,10,27.67764
-0.785714,10,27.75397
-0.809524,9,27.820975
-0.904762,5,27.85762
-0.928571,4,27.888894
-0.880952,6,27.93291
-0.880952,6,27.978887
-9.690476,14,28.080296
-0.785714,10,28.153882
-0.714286,13,28.372523
-0.714286,13,28.465654
-9.690476,14,28.566397
-0.714286,13,28.661943
-0.761905,11,28.742428
-0.809524,9,28.8123
-0.904762,5,28.848166
-0.714286,13,28.94602
-0.928571,4,28.976079
-0.833333,8,29.038182
-0.904762,5,29.075471
-0.642857,16,29.187708
-0.928571,4,29.217355
-0.809524,9,29.282613
-9.738095,12,29.368257
-9.666667,15,29.474883
-0.857143,7,29.528048
-0.880952,6,29.574998
-0.857143,7,29.628368
-0.761905,11,29.714164
-9.809524,9,29.777436
-0.666667,15,29.882199
-0.785714,10,29.958633
-9.619048,17,30.07811
-9.785714,10,30.147381
-0.833333,8,30.208979
-0.690476,14,30.43258
-0.904762,5,30.471176
-0.738095,12,30.560255
-0.738095,12,30.649579
-0.809524,9,30.715535
-0.785714,10,30.790609
-0.809524,9,30.856328
-0.880952,6,30.900248
-0.809524,9,30.971082
-0.880952,6,31.017651
-0.857143,7,31.068544
-0.857143,7,31.120133
-9.666667,15,31.226877
-9.714286,13,31.321423
-0.904762,5,31.358163
-0.833333,8,31.419838
-0.904762,5,31.455896
-0.761905,11,31.539794
-0.880952,6,31.585608
-0.833333,8,31.645009
-0.904762,5,31.683231
-0.880952,6,31.728328
-0.904762,5,31.769115
-0.928571,4,31.797652
-0.857143,7,31.850306
-0.785714,10,31.925542
-9.714286,13,32.018286
